,frame,keypoint,x,y,z
387,18,left_0009,-601.1318240070472,21.062643972506503,1481.1621044154647
388,18,left_0010,-606.7727878911346,38.18890803948188,1522.7671581379732
389,18,left_0011,-600.6326462615251,37.390778422083685,1552.5571124820747
390,18,left_0012,-586.4534821989782,34.854067688432444,1580.349252465752
391,18,left_0013,-572.0159442950613,26.824512150317933,1490.2978542688904
392,18,left_0014,-574.8434352554569,40.78676720244726,1531.0482215346306
393,18,left_0015,-569.4652493122272,40.145978475885045,1558.5913439417193
394,18,left_0016,-555.1869074429422,37.99428383481787,1585.2872117602305
395,18,left_0017,-544.4479323210893,28.19320502013142,1503.6817897462242
396,18,left_0018,-544.7218770468178,39.99002505641842,1540.024125243951
397,18,left_0019,-539.3202563388552,40.34559843231303,1565.9389799544078
398,18,left_0020,-527.2517515324951,37.965754842037654,1589.4110451384413
399,19,left_0000,-591.215930596059,-50.32539301713812,1438.2543416177887
400,19,left_0001,-625.3605487719074,-59.98985632396239,1461.4833275868834
401,19,left_0002,-636.7441015181925,-42.83104886885928,1495.6698617063873
402,19,left_0003,-632.4170474083097,-18.021990755545612,1527.3877596243212
403,19,left_0004,-626.0596207667459,-0.1744330836215017,1556.3521900590197
404,19,left_0005,-633.3305475912292,1.7276181717309105,1485.965680055104
405,19,left_0006,-633.3085013924004,25.09563111418124,1530.802433402548
406,19,left_0007,-630.8618519580409,30.158567015797765,1559.1581354072116
407,19,left_0008,-626.7320771931292,31.30290331367268,1580.9576764601854
408,19,left_0009,-608.2259165101415,14.73238449689355,1486.5135457894642
409,19,left_0010,-612.84104258031,32.596841800544695,1527.7023375011727
